EDMSDUTIL3

Entry                     RecordName                Record Status    Section TimeTo Data   Data                                                               
                                                    Type                     Live   Length                                                                    
-----                     ----------                ------ ------    ------- ------ ------ ----                                                               
edmsjfat4.sterling.ste... EDMSJFAT4.sterling.ste... A      Success   Answer    1011      4 192.168.5.169                                                      
edmsjfat4.sterling.ste... EDMSJFAT4.sterling.ste... A      Success   Answer    1011      4 192.168.5.169                                                      
50.5.168.192.in-addr.arpa 50.5.168.192.in-addr.arpa PTR    Success   Answer    1010      8 edmsutil1.sterling.sterlingcrane.ca                                
edmsmigp1                 EDMSMIGP1.sterling.ste... A      Success   Answer    1048      4 192.168.5.29                                                       
32.5.168.192.in-addr.arpa 32.5.168.192.in-addr.arpa PTR    Success   Answer     710      8 suncor.sterling.sterlingcrane.ca                                   
edmsrdsd1                 EDMSRDSD1.sterling.ste... A      Success   Answer    3461      4 192.168.5.82                                                       
edmsdbmon.sterling.ste... EDMSDBMON.sterling.ste... A      Success   Answer    1011      4 192.168.5.119                                                      
edmsdbmon.sterling.ste... EDMSDBMON.sterling.ste... A      Success   Answer    1011      4 192.168.5.119                                                      
edmsazuread               EDMSAzureAD.sterling.s... A      Success   Answer    1061      4 192.168.5.33                                                       
edmwdev1                  EDMWDEV1.sterling.ster... A      Success   Answer    1049      4 192.168.5.48                                                       
edmsfisp1                 EDMSFISP1.sterling.ste... A      Success   Answer    1031      4 192.168.5.87                                                       
edmsmysql1                EDMSMYSQL1.sterling.st... A      Success   Answer    1027      4 192.168.5.22                                                       
edmsmysql1                EDMSMYSQL1.sterling.st... A      Success   Answer    1027      4 192.168.5.68                                                       
168.5.168.192.in-addr.... 168.5.168.192.in-addr.... PTR    Success   Answer    1009      8 edmsjfat3.sterling.sterlingcrane.ca                                
edmsiisdev                EDMSIISDEV.sterling.st... A      Success   Answer    1027      4 192.168.5.75                                                       
dbankswvm                 DBANKSWVM.sterling.ste... A      Success   Answer    1061      4 192.168.5.34                                                       
edmsmothorpe.sterling.... EDMSMOTHORPE.sterling.... A      Success   Answer    1011      4 192.168.5.209                                                      
edmsmothorpe.sterling.... EDMSMOTHORPE.sterling.... A      Success   Answer    1011      4 192.168.5.209                                                      
edmsmssqld3               EDMSMSSQLD3.sterling.s... A      Success   Answer    1031      4 192.168.5.112                                                      
edmsdc9                   edmsdc9.sterling.sterl... A      Success   Answer    3431      4 192.168.5.101                                                      
edmsdc3                   EDMSDC3.sterling.sterl... A      Success   Answer    3447      4 192.168.5.102                                                      
wus2.his.arc.azure.com    wus2.his.arc.azure.com    CNAME  Success   Answer      11      8 wus2.privatelink.his.arc.azure.com                                 
wus2.his.arc.azure.com    wus2.privatelink.his.a... CNAME  Success   Answer      11      8 wus2.his.hybridcompute.trafficmanager.net                          
wus2.his.arc.azure.com    wus2.his.hybridcompute... A      Success   Answer      11      4 40.64.132.84                                                       
edmsfile1                 EDMSFILE1.sterling.ste... A      Success   Answer    1049      4 192.168.5.95                                                       
edmsfile1                 EDMSFILE1.sterling.ste... A      Success   Answer    1049      4 192.168.5.104                                                      
edmsmysqlp1               EDMSMYSQLP1.sterling.s... A      Success   Answer    1048      4 192.168.5.155                                                      
edmsexhybp1               EDMSEXHYBP1.sterling.s... A      Success   Answer    1031      4 192.168.5.250                                                      
edmsiisd3                 EDMSIISD3.sterling.ste... A      Success   Answer    1031      4 192.168.5.226                                                      
113.5.168.192.in-addr.... 113.5.168.192.in-addr.... PTR    Success   Answer    1009      8 edmscnc1.sterling.sterlingcrane.ca                                 
edmwsuncor                EDMWSUNCOR.sterling.st... A      Success   Answer    1061      4 192.168.5.177                                                      
relay.sterlingcrane.com   relay.sterlingcrane.com   A      Success   Answer    3385      4 192.168.5.250                                                      
edmsavp1                  EDMSAVP1.sterling.ster... A      Success   Answer    1048      4 192.168.5.180                                                      
edmswsusp2                EDMSWSUSP2.sterling.st... A      Success   Answer    1061      4 192.168.5.210                                                      
edmswebd1                 EDMSWEBD1.sterling.ste... A      Success   Answer    1047      4 192.168.5.162                                                      
edmsentd1                 EDMSENTD1.sterling.ste... A      Success   Answer    1031      4 192.168.5.160                                                      
edmshubwebp1              EDMSHUBWEBP1.sterling.... A      Success   Answer    1061      4 192.168.5.211                                                      
edmsjfat1.sterling.ste... EDMSJFAT1.sterling.ste... A      Success   Answer    1009      4 192.168.5.166                                                      
