name,type,data,zone
"edmsmail","A","192.168.5.250","testzone.ca"
"edmsmail","MX","edmsmail.testzone.ca","testzone.ca"
"spam","A","192.168.5.250","testzone.ca"
"mail","A","192.168.5.250","testzone.com"
"relay","A","192.168.5.250","testzone.com"
"webmail","CNAME","edmsmail.testzone.ca","testzone.com"
"smtp","CNAME","edmsmail.testzone.ca","testzone.com"
"spam","CNAME","edmsmail.testzone.ca","testzone.com"
"intrelay","A","192.168.5.197","testzone.ca"
"extrelay","CNAME","sterlingcrane-com.testzone.com","testzone.com"
